question,answer,text
What is the name of the magical plant that can be used to cure most poisons?,Mandrake,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical plant that can be used to cure most poisons? [/INST] Mandrake </s>
Who is the author of 'The Tales of Beedle the Bard'?,Beedle the Bard,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the author of 'The Tales of Beedle the Bard'? [/INST] Beedle the Bard </s>
What is the name of the spell that causes the victim to become infatuated with the caster?,Amortentia,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell that causes the victim to become infatuated with the caster? [/INST] Amortentia </s>
How many Knuts equal one Sickle?,29,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many Knuts equal one Sickle? [/INST] 29 </s>
What is the name of the dark wizard who was defeated by Albus Dumbledore in 1945?,Gellert Grindelwald,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the dark wizard who was defeated by Albus Dumbledore in 1945? [/INST] Gellert Grindelwald </s>
Which Quidditch players fend off the Bludgers?,The Beaters,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which Quidditch players fend off the Bludgers? [/INST] The Beaters </s>
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where is the British and Irish Quidditch League Headquarters located? [/INST] The Ministry of Magic </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
What is the name of the Slytherin house head?,Professor Severus Snape.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Slytherin house head? [/INST] Professor Severus Snape. </s>
What is the name of the magical plant that is used in potions to induce sleep?,Soporific Draught,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical plant that is used in potions to induce sleep? [/INST] Soporific Draught </s>
What is the name of the spell used to unlock doors?,Alohomora,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to unlock doors? [/INST] Alohomora </s>
In which place does Harry first meet the Weasley family?,King’s Cross Station.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry first meet the Weasley family? [/INST] King’s Cross Station. </s>
What color is Teddy Lupin's hair when he is born?,Black,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What color is Teddy Lupin's hair when he is born? [/INST] Black </s>
"Why does Harry learn about the existence of the Deathly Hallows in ""Harry Potter and the Deathly Hallows""?",From a tale told by Xenophilius Lovegood.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry learn about the existence of the Deathly Hallows in ""Harry Potter and the Deathly Hallows""? [/INST] From a tale told by Xenophilius Lovegood. </s>"
"Why does Harry take up the role of the Quidditch captain in ""Harry Potter and the Half-Blood Prince""?",To replace Katie Bell after she was injured.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry take up the role of the Quidditch captain in ""Harry Potter and the Half-Blood Prince""? [/INST] To replace Katie Bell after she was injured. </s>"
What is the name of the Weasley twins' magical joke shop?,Weasleys' Wizard Wheezes.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Weasley twins' magical joke shop? [/INST] Weasleys' Wizard Wheezes. </s>
What's the address of the Black family home?,12 Grimmauld Place,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What's the address of the Black family home? [/INST] 12 Grimmauld Place </s>
Who was the founder of Slytherin House?,Salazar Slytherin,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the founder of Slytherin House? [/INST] Salazar Slytherin </s>
What is the significance of Harry’s friendship with Neville Longbottom?,"It highlights the importance of loyalty and bravery, as Neville stands by Harry despite facing his own challenges.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the significance of Harry’s friendship with Neville Longbottom? [/INST] It highlights the importance of loyalty and bravery, as Neville stands by Harry despite facing his own challenges. </s>"
"In which place does Harry encounter Fluffy, the three-headed dog, in ""Harry Potter and the Philosopher’s Stone""?",The Third Floor Corridor at Hogwarts.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry encounter Fluffy, the three-headed dog, in ""Harry Potter and the Philosopher’s Stone""? [/INST] The Third Floor Corridor at Hogwarts. </s>"
What is Remus Lupin's role at Hogwarts?,Defense Against the Dark Arts professor.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Remus Lupin's role at Hogwarts? [/INST] Defense Against the Dark Arts professor. </s>
"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters? [/INST] A Boggart </s>"
What's the first step to performing a Bell Tailslide?,Flying straight up.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What's the first step to performing a Bell Tailslide? [/INST] Flying straight up. </s>
What is the name of the spell used to erase memories?,Obliviate,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to erase memories? [/INST] Obliviate </s>
What is the name of the spell used to create a temporary barrier?,Protego,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a temporary barrier? [/INST] Protego </s>
How many players are on a Quidditch team?,Seven,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many players are on a Quidditch team? [/INST] Seven </s>
In which place does Harry learn about Sirius Black’s connection to his family and receive the Marauder’s Map?,Honeydukes Sweetshop.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry learn about Sirius Black’s connection to his family and receive the Marauder’s Map? [/INST] Honeydukes Sweetshop. </s>
What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points?,Pickled Slugs,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points? [/INST] Pickled Slugs </s>
Which of these spells is not a Transfiguration spell?,Confundo,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of these spells is not a Transfiguration spell? [/INST] Confundo </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
What is the name of the spell used to disarm opponents?,Expelliarmus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to disarm opponents? [/INST] Expelliarmus </s>
"What is the name of the magical creature that resembles a small, winged horse?",Thestral,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a small, winged horse? [/INST] Thestral </s>"
What is the name of the spell used to disarm an opponent?,Expelliarmus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to disarm an opponent? [/INST] Expelliarmus </s>
Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name? [/INST] Francis </s>
What is the name of Rubeus Hagrid's pet hippogriff?,Buckbeak,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of Rubeus Hagrid's pet hippogriff? [/INST] Buckbeak </s>
In which place is the headquarters of the Order of the Phoenix located?,12 Grimmauld Place.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place is the headquarters of the Order of the Phoenix located? [/INST] 12 Grimmauld Place. </s>
What is the name of the potion that grants the drinker immense strength?,Felix Felicis,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that grants the drinker immense strength? [/INST] Felix Felicis </s>
What type of Potion is Weedosoros?,Poison,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What type of Potion is Weedosoros? [/INST] Poison </s>
How many Philosopher's Stones have been known to exist?,One,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many Philosopher's Stones have been known to exist? [/INST] One </s>
What year was the first match?,1050 AD,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What year was the first match? [/INST] 1050 AD </s>
In which place is the headquarters of the Order of the Phoenix located?,12 Grimmauld Place.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place is the headquarters of the Order of the Phoenix located? [/INST] 12 Grimmauld Place. </s>
What is the name of the spell used to heal minor injuries?,Episkey,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to heal minor injuries? [/INST] Episkey </s>
Who is the author of 'One Thousand Magical Herbs and Fungi'?,Phyllida Spore,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the author of 'One Thousand Magical Herbs and Fungi'? [/INST] Phyllida Spore </s>
Which of the following is another dive commonly used by Seekers?,Spiral Dive,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of the following is another dive commonly used by Seekers? [/INST] Spiral Dive </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
Which one of this spell is used to transfigure and object into a rabbit?,Lapifors,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which one of this spell is used to transfigure and object into a rabbit? [/INST] Lapifors </s>
How does Ron’s relationship with Harry and Hermione challenge his assumptions about bravery and heroism?,"It helps him see that true bravery comes from standing up for what is right, even in the face of fear and uncertainty.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Ron’s relationship with Harry and Hermione challenge his assumptions about bravery and heroism? [/INST] It helps him see that true bravery comes from standing up for what is right, even in the face of fear and uncertainty. </s>"
What does Ginny say Ron has a tattoo of?,A Pygmy Puff,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What does Ginny say Ron has a tattoo of? [/INST] A Pygmy Puff </s>
"In which place does Harry find one of Voldemort’s Horcruxes in ""Harry Potter and the Half-Blood Prince""?",The Cave.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry find one of Voldemort’s Horcruxes in ""Harry Potter and the Half-Blood Prince""? [/INST] The Cave. </s>"
Which character is known for their ability to transform into a dog and for their close friendship with James Potter?,Sirius Black.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is known for their ability to transform into a dog and for their close friendship with James Potter? [/INST] Sirius Black. </s>
What magical creature can be summoned using the incantation 'Expecto Patronum'?,A Patronus.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What magical creature can be summoned using the incantation 'Expecto Patronum'? [/INST] A Patronus. </s>
Which character is the founder of the Department of Magical Accidents and Catastrophes at the Ministry of Magic?,Daisy Hookum.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is the founder of the Department of Magical Accidents and Catastrophes at the Ministry of Magic? [/INST] Daisy Hookum. </s>
Who is the author of 'Advanced Potion-Making'?,Libatius Borage,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the author of 'Advanced Potion-Making'? [/INST] Libatius Borage </s>
What's the most unfun job at Hogwarts?,Caretaker,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What's the most unfun job at Hogwarts? [/INST] Caretaker </s>
What position did Viktor Krum play on the Durmstrang Institute Quidditch team?,Seeker,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What position did Viktor Krum play on the Durmstrang Institute Quidditch team? [/INST] Seeker </s>
What is the name of the potion that grants the drinker the ability to see through walls?,Perspicuos Potion,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that grants the drinker the ability to see through walls? [/INST] Perspicuos Potion </s>
What potion is brewed to heal minor injuries?,Wiggenweld Potion,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What potion is brewed to heal minor injuries? [/INST] Wiggenweld Potion </s>
Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the sister of Death Eater Bellatrix Lestrange? [/INST] Narcissa Malfoy </s>
When was the Werewolf Code of Conduct developed?,1637,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: When was the Werewolf Code of Conduct developed? [/INST] 1637 </s>
Which four characters hold the position of Minister of Magic throughout the books?,"Cornelius Fudge, Rufus Scrimgeour, Pius Thicknesse and Kingsley Shacklebolt","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which four characters hold the position of Minister of Magic throughout the books? [/INST] Cornelius Fudge, Rufus Scrimgeour, Pius Thicknesse and Kingsley Shacklebolt </s>"
"How does the friendship between Harry, Ron, and Hermione withstand the challenges they face?","Their loyalty, trust, and shared experiences strengthen their bond, enabling them to overcome obstacles together.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does the friendship between Harry, Ron, and Hermione withstand the challenges they face? [/INST] Their loyalty, trust, and shared experiences strengthen their bond, enabling them to overcome obstacles together. </s>"
What event followed the Soap Blizzard of 1378?,Economic Crash,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What event followed the Soap Blizzard of 1378? [/INST] Economic Crash </s>
What is Rowena Ravenclaw's signature item?,Diadem,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Rowena Ravenclaw's signature item? [/INST] Diadem </s>
Who is the headmaster of Hogwarts in the early books?,Albus Dumbledore.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the headmaster of Hogwarts in the early books? [/INST] Albus Dumbledore. </s>
Which books details the history of Quidditch?,Quidditch Through the Ages,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which books details the history of Quidditch? [/INST] Quidditch Through the Ages </s>
What is the name of Harry's favorite flying broomstick?,The Nimbus 2000.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of Harry's favorite flying broomstick? [/INST] The Nimbus 2000. </s>
What is the name of the spell used to repel Dementors?,Expecto Patronum,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to repel Dementors? [/INST] Expecto Patronum </s>
What is the name of Ron Weasley and Hermione Granger's daughter?,Rose Weasley.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of Ron Weasley and Hermione Granger's daughter? [/INST] Rose Weasley. </s>
How many Lionfish Spines are used in one batch of Herbicide Potion?,Four,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many Lionfish Spines are used in one batch of Herbicide Potion? [/INST] Four </s>
"Why does Harry face the Hungarian Horntail in ""Harry Potter and the Goblet of Fire""?",As part of the first task of the Triwizard Tournament.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry face the Hungarian Horntail in ""Harry Potter and the Goblet of Fire""? [/INST] As part of the first task of the Triwizard Tournament. </s>"
In which place do Harry and his friends encounter the Hungarian Horntail during the Triwizard Tournament?,The First Task Arena.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place do Harry and his friends encounter the Hungarian Horntail during the Triwizard Tournament? [/INST] The First Task Arena. </s>
Who destroyed the Horcrux in Helga Hufflpuff's Cup?,Hermione Granger,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who destroyed the Horcrux in Helga Hufflpuff's Cup? [/INST] Hermione Granger </s>
What plant is used to bring Mandrakes to maturity?,Mandrake.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What plant is used to bring Mandrakes to maturity? [/INST] Mandrake. </s>
What is the name of the magical creature that resembles a large dog and guards the grounds of Hogwarts?,Hippogriff,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a large dog and guards the grounds of Hogwarts? [/INST] Hippogriff </s>
What potion is brewed to induce sleep?,Draught of Living Death,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What potion is brewed to induce sleep? [/INST] Draught of Living Death </s>
Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament? [/INST] Swedish Short-Snout </s>
"Why does Winky the house-elf struggle with her freedom in ""Harry Potter and the Goblet of Fire""?",Because she is deeply loyal to the Crouch family and feels lost without their guidance.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Winky the house-elf struggle with her freedom in ""Harry Potter and the Goblet of Fire""? [/INST] Because she is deeply loyal to the Crouch family and feels lost without their guidance. </s>"
How does Sirius Black’s friendship with James Potter influence his relationship with Harry?,"It creates a strong bond between Sirius and Harry, as Sirius sees James reflected in Harry and feels a sense of responsibility for his well-being and safety.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Sirius Black’s friendship with James Potter influence his relationship with Harry? [/INST] It creates a strong bond between Sirius and Harry, as Sirius sees James reflected in Harry and feels a sense of responsibility for his well-being and safety. </s>"
"What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix?",Rapier.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix? [/INST] Rapier. </s>"
"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries? [/INST] Gilderoy Lockhart </s>"
"Who do you prefer: Dust, Binns, or Peeves?",Peeves!,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who do you prefer: Dust, Binns, or Peeves? [/INST] Peeves! </s>"
Which of the following is NOT a type of Dark Magic?,Charm,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of the following is NOT a type of Dark Magic? [/INST] Charm </s>
What is the name of the magical object used to summon objects?,Accio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object used to summon objects? [/INST] Accio </s>
What is Draco Malfoy’s mother’s name?,Narcissa,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Draco Malfoy’s mother’s name? [/INST] Narcissa </s>
What is the name of the spell used to summon an object to the caster?,Accio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to summon an object to the caster? [/INST] Accio </s>
What is the name of the spell used to disarm opponents?,Expelliarmus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to disarm opponents? [/INST] Expelliarmus </s>
